airline_name,arrivalAirportKey,weekNr,countOfFlights
Ryanair,Tenerife,39,288
Ryanair,Tenerife,22,284
Ryanair,Tenerife,32,288
Ryanair,Tenerife,21,288
Ryanair,Tenerife,38,286
Ryanair,Tenerife,27,288
Ryanair,Tenerife,17,136
Ryanair,Tenerife,15,60
Ryanair,Tenerife,33,288
Ryanair,Tenerife,14,2
Transavia,Faro,20,288
Transavia,Faro,19,274
Transavia,Faro,35,360
Transavia,Faro,27,432
Transavia,Faro,25,288
Transavia,Faro,26,360
Transavia,Faro,24,288
Transavia,Faro,21,288
Transavia,Faro,38,360
Transavia,Faro,39,328
Transavia,Faro,31,432
Transavia,Faro,37,360
Transavia,Faro,34,432
Transavia,Faro,28,374
Transavia,Faro,41,50
Transavia,Faro,36,360
Transavia,Faro,32,432
Transavia,Faro,30,432
Transavia,Faro,33,432
Transavia,Faro,17,156
Transavia,Faro,43,48
Transavia,Faro,22,288
Transavia,Faro,29,432
Transavia,Faro,44,48
Transavia,Faro,18,220
Transavia,Faro,23,288
Transavia,Faro,16,108
Transavia,Faro,40,66
Transavia,Faro,15,58
Transavia,Faro,42,50
Transavia,Faro,14,6
Transavia,Malaga,30,434
Transavia,Malaga,27,436
Transavia,Malaga,26,208
Transavia,Malaga,32,436
Transavia,Malaga,28,436
Transavia,Malaga,29,436
Transavia,Malaga,36,364
Transavia,Malaga,34,436
Transavia,Malaga,35,362
Transavia,Malaga,37,364
Transavia,Malaga,33,436
Transavia,Malaga,38,364
Transavia,Malaga,39,330
Transavia,Malaga,31,436
Transavia,Malaga,40,68
Transavia,Malaga,42,40
Transavia,Malaga,43,30
Transavia,Malaga,41,46
Transavia,Malaga,44,26
Transavia,Ibiza,26,272
Transavia,Ibiza,16,94
Transavia,Ibiza,24,272
Transavia,Ibiza,19,260
Transavia,Ibiza,20,272
Transavia,Ibiza,17,134
Transavia,Ibiza,25,272
Transavia,Ibiza,36,288
Transavia,Ibiza,29,272
Transavia,Ibiza,31,272
Transavia,Ibiza,37,288
Transavia,Ibiza,34,288
Transavia,Ibiza,30,272
Transavia,Ibiza,39,288
Transavia,Ibiza,18,206
Transavia,Ibiza,23,272
Transavia,Ibiza,21,272
Transavia,Ibiza,33,288
Transavia,Ibiza,40,38
Transavia,Ibiza,28,272
Transavia,Ibiza,38,288
Transavia,Ibiza,27,272
Transavia,Ibiza,22,272
Transavia,Ibiza,32,272
Transavia,Ibiza,41,8
Transavia,Ibiza,35,288
Transavia,Ibiza,43,8
Transavia,Ibiza,15,38
Transavia,Ibiza,44,4
Transavia,Ibiza,42,8
Transavia,Kreta,27,204
Transavia,Kreta,23,144
Transavia,Kreta,20,144
Transavia,Kreta,35,144
Transavia,Kreta,24,144
Transavia,Kreta,31,204
Transavia,Kreta,28,204
Transavia,Kreta,34,204
Transavia,Kreta,30,204
Transavia,Kreta,32,204
Transavia,Kreta,38,144
Transavia,Kreta,19,138
Transavia,Kreta,36,144
Transavia,Kreta,18,112
Transavia,Kreta,33,204
Transavia,Kreta,26,204
Transavia,Kreta,37,144
Transavia,Kreta,22,144
Transavia,Kreta,21,144
Transavia,Kreta,29,204
Transavia,Kreta,39,138
Transavia,Kreta,15,26
Transavia,Kreta,25,136
Transavia,Kreta,16,54
Transavia,Kreta,17,30
Transavia,Kreta,41,8
Transavia,Kreta,42,8
Transavia,Kreta,14,2
Transavia,Kreta,40,26
Transavia,Kreta,44,2
Transavia,Kreta,43,2
Transavia,Alicante,24,360
Transavia,Alicante,22,360
Transavia,Alicante,25,360
Transavia,Alicante,17,184
Transavia,Alicante,27,432
Transavia,Alicante,35,432
Transavia,Alicante,21,360
Transavia,Alicante,23,360
Transavia,Alicante,38,432
Transavia,Alicante,37,432
Transavia,Alicante,18,278
Transavia,Alicante,20,360
Transavia,Alicante,26,360
Transavia,Alicante,29,432
Transavia,Alicante,30,432
Transavia,Alicante,36,432
Transavia,Alicante,34,432
Transavia,Alicante,31,432
Transavia,Alicante,39,398
Transavia,Alicante,33,432
Transavia,Alicante,32,432
Transavia,Alicante,28,432
Transavia,Alicante,14,8
Transavia,Alicante,19,346
Transavia,Alicante,41,48
Transavia,Alicante,15,88
Transavia,Alicante,16,138
Transavia,Alicante,43,12
Transavia,Alicante,42,20
Transavia,Alicante,40,80
Transavia,Tenerife,34,140
Transavia,Tenerife,31,140
Transavia,Tenerife,35,140
Transavia,Tenerife,38,140
Transavia,Tenerife,29,140
Transavia,Tenerife,39,142
Transavia,Tenerife,30,140
Transavia,Tenerife,27,142
Transavia,Tenerife,33,140
Transavia,Tenerife,36,140
Transavia,Tenerife,26,60
Transavia,Tenerife,32,140
Transavia,Tenerife,28,140
Transavia,Tenerife,37,140
Transavia,Tenerife,41,16
Transavia,Tenerife,40,22
Transavia,Tenerife,43,12
Transavia,Tenerife,44,24
Transavia,Tenerife,42,12
Tui,Faro,19,140
Tui,Faro,34,216
Tui,Faro,31,216
Tui,Faro,26,216
Tui,Faro,32,216
Tui,Faro,27,216
Tui,Faro,21,100
Tui,Faro,38,140
Tui,Faro,33,210
Tui,Faro,36,144
Tui,Faro,23,142
Tui,Faro,20,144
Tui,Faro,24,144
Tui,Faro,28,204
Tui,Faro,25,144
Tui,Faro,30,216
Tui,Faro,37,144
Tui,Faro,39,144
Tui,Faro,35,144
Tui,Faro,29,216
Tui,Faro,22,144
Tui,Faro,18,96
Tui,Faro,15,20
Tui,Faro,16,10
Tui,Alicante,19,1234
Tui,Alicante,35,1512
Tui,Alicante,37,1512
Tui,Alicante,22,1402
Tui,Alicante,31,1656
Tui,Alicante,15,354
Tui,Alicante,20,1522
Tui,Alicante,30,1656
Tui,Alicante,24,1496
Tui,Alicante,27,1656
Tui,Alicante,23,1370
Tui,Alicante,26,1712
Tui,Alicante,17,600
Tui,Alicante,18,1092
Tui,Alicante,29,1656
Tui,Alicante,39,1512
Tui,Alicante,25,1496
Tui,Alicante,21,1484
Tui,Alicante,33,1656
Tui,Alicante,36,1512
Tui,Alicante,34,1656
Tui,Alicante,38,1512
Tui,Alicante,28,1656
Tui,Alicante,40,576
Tui,Alicante,32,1656
Tui,Alicante,16,478
Tui,Alicante,14,38
Tui,Malaga,23,1460
Tui,Malaga,25,1486
Tui,Malaga,31,1656
Tui,Malaga,32,1656
Tui,Malaga,19,1416
Tui,Malaga,24,1464
Tui,Malaga,22,1474
Tui,Malaga,27,1656
Tui,Malaga,34,1656
Tui,Malaga,17,608
Tui,Malaga,26,1640
Tui,Malaga,29,1656
Tui,Malaga,36,1512
Tui,Malaga,20,1366
Tui,Malaga,38,1512
Tui,Malaga,21,1372
Tui,Malaga,33,1656
Tui,Malaga,30,1656
Tui,Malaga,28,1656
Tui,Malaga,35,1512
Tui,Malaga,39,1512
