airline_name,arrival_airport_iata_code,weekNr,countOfFlights
Transavia,9,25,136
Transavia,9,16,54
Transavia,9,17,30
Transavia,9,41,8
Transavia,9,42,8
Transavia,9,14,2
Transavia,9,40,26
Transavia,9,44,2
Transavia,9,43,2
Transavia,2,24,360
Transavia,2,22,360
Transavia,2,25,360
Transavia,2,17,184
Transavia,2,27,432
Transavia,2,35,432
Transavia,2,21,360
Transavia,2,23,360
Transavia,2,38,432
Transavia,2,37,432
Transavia,2,18,278
Transavia,2,20,360
Transavia,2,26,360
Transavia,2,29,432
Transavia,2,30,432
Transavia,2,36,432
Transavia,2,34,432
Transavia,2,31,432
Transavia,2,39,398
Transavia,2,33,432
Transavia,2,32,432
Transavia,2,28,432
Transavia,2,14,8
Transavia,2,19,346
Transavia,2,41,48
Transavia,2,15,88
Transavia,2,16,138
Transavia,2,43,12
Transavia,2,42,20
Transavia,2,40,80
Transavia,17,34,140
Transavia,17,31,140
Transavia,17,35,140
Transavia,17,38,140
Transavia,17,29,140
Transavia,17,39,142
Transavia,17,30,140
Transavia,17,27,142
Transavia,17,33,140
Transavia,17,36,140
Transavia,17,26,60
Transavia,17,32,140
Transavia,17,28,140
Transavia,17,37,140
Transavia,17,41,16
Transavia,17,40,22
Transavia,17,43,12
Transavia,17,44,24
Transavia,17,42,12
Tui,8,19,140
Tui,8,34,216
Tui,8,31,216
Tui,8,26,216
Tui,8,32,216
Tui,8,27,216
Tui,8,21,100
Tui,8,38,140
Tui,8,33,210
Tui,8,36,144
Tui,8,23,142
Tui,8,20,144
Tui,8,24,144
Tui,8,28,204
Tui,8,25,144
Tui,8,30,216
Tui,8,37,144
Tui,8,39,144
Tui,8,35,144
Tui,8,29,216
Tui,8,22,144
Tui,8,18,96
Tui,8,15,20
Tui,8,16,10
Tui,2,19,1234
Tui,2,35,1512
Tui,2,37,1512
Tui,2,22,1402
Tui,2,31,1656
Tui,2,15,354
Tui,2,20,1522
Tui,2,30,1656
Tui,2,24,1496
Tui,2,27,1656
Tui,2,23,1370
Tui,2,26,1712
Tui,2,17,600
Tui,2,18,1092
Tui,2,29,1656
Tui,2,39,1512
Tui,2,25,1496
Tui,2,21,1484
Tui,2,33,1656
Tui,2,36,1512
Tui,2,34,1656
Tui,2,38,1512
Tui,2,28,1656
Tui,2,40,576
Tui,2,32,1656
Tui,2,16,478
Tui,2,14,38
Tui,1,23,1460
Tui,1,25,1486
Tui,1,31,1656
Tui,1,32,1656
Tui,1,19,1416
Tui,1,24,1464
Tui,1,22,1474
Tui,1,27,1656
Tui,1,34,1656
Tui,1,17,608
Tui,1,26,1640
Tui,1,29,1656
Tui,1,36,1512
Tui,1,20,1366
Tui,1,38,1512
Tui,1,21,1372
Tui,1,33,1656
Tui,1,30,1656
Tui,1,28,1656
Tui,1,35,1512
Tui,1,39,1512
Tui,1,37,1512
Tui,1,15,310
Tui,1,16,444
Tui,1,18,1136
Tui,1,40,512
Tui,1,14,2
Tui,9,21,646
Tui,9,23,704
Tui,9,18,304
Tui,9,19,560
Tui,9,20,570
Tui,9,33,936
Tui,9,32,936
Tui,9,25,704
Tui,9,34,936
Tui,9,22,676
Tui,9,36,864
Tui,9,37,846
Tui,9,28,928
Tui,9,38,858
Tui,9,29,936
Tui,9,31,936
Tui,9,35,936
Tui,9,27,918
Tui,9,39,846
Tui,9,40,124
Tui,9,26,784
Tui,9,24,712
Tui,9,30,936
Tui,9,17,166
Tui,9,16,114
Tui,9,15,32
Tui,4,30,144
Tui,4,23,144
Tui,4,21,144
Tui,4,22,144
Tui,4,38,144
Tui,4,35,144
Tui,4,26,144
Tui,4,20,144
Tui,4,19,72
Tui,4,27,144
Tui,4,28,144
Tui,4,36,144
Tui,4,37,144
Tui,4,24,144
Tui,4,25,144
Tui,4,34,144
Tui,4,39,144
Tui,4,33,144
Tui,4,31,144
Tui,4,32,144
Tui,4,29,144
Tui,14,35,1026
Tui,14,34,1128
Tui,14,30,1128
Tui,14,31,1118
