Departure,Destination,Date,Departure time,Arrival time,Flightnumber,Duration,Price
Brussels,Kreta,22/04/2023,06:35,11:00,HV9209,265,309.0
Brussels,Kreta,23/04/2023,None,None,None,None,None
Brussels,Kreta,24/04/2023,None,None,None,None,None
Brussels,Kreta,25/04/2023,07:10,11:35,HV9211,265,191.0
Brussels,Kreta,26/04/2023,None,None,None,None,None
Brussels,Kreta,27/04/2023,None,None,None,None,None
Brussels,Kreta,28/04/2023,None,None,None,None,None
Brussels,Kreta,29/04/2023,06:35,11:00,HV9209,265,274.0
Brussels,Kreta,30/04/2023,None,None,None,None,None
Brussels,Kreta,01/05/2023,None,None,None,None,None
Brussels,Kreta,02/05/2023,07:10,11:35,HV9211,265,225.0
Brussels,Kreta,03/05/2023,None,None,None,None,None
Brussels,Kreta,04/05/2023,None,None,None,None,None
Brussels,Kreta,05/05/2023,None,None,None,None,None
Brussels,Kreta,06/05/2023,06:35,11:00,HV9209,265,207.0
Brussels,Kreta,07/05/2023,None,None,None,None,None
Brussels,Kreta,08/05/2023,None,None,None,None,None
Brussels,Kreta,09/05/2023,07:10,11:35,HV9211,265,241.0
Brussels,Kreta,10/05/2023,None,None,None,None,None
Brussels,Kreta,11/05/2023,None,None,None,None,None
Brussels,Kreta,12/05/2023,None,None,None,None,None
Brussels,Kreta,13/05/2023,06:35,11:00,HV9209,265,241.0
Brussels,Kreta,14/05/2023,None,None,None,None,None
Brussels,Kreta,15/05/2023,None,None,None,None,None
Brussels,Kreta,16/05/2023,07:10,11:35,HV9211,265,161.0
Brussels,Kreta,17/05/2023,None,None,None,None,None
Brussels,Kreta,18/05/2023,None,None,None,None,None
Brussels,Kreta,19/05/2023,None,None,None,None,None
Brussels,Kreta,20/05/2023,06:35,11:00,HV9209,265,146.0
Brussels,Kreta,21/05/2023,None,None,None,None,None
Brussels,Kreta,22/05/2023,None,None,None,None,None
Brussels,Kreta,23/05/2023,07:10,11:35,HV9211,265,146.0
Brussels,Kreta,24/05/2023,None,None,None,None,None
Brussels,Kreta,25/05/2023,None,None,None,None,None
Brussels,Kreta,26/05/2023,None,None,None,None,None
Brussels,Kreta,27/05/2023,06:35,11:00,HV9209,265,175.0
Brussels,Kreta,28/05/2023,None,None,None,None,None
Brussels,Kreta,29/05/2023,None,None,None,None,None
Brussels,Kreta,30/05/2023,07:10,11:35,HV9211,265,191.0
Brussels,Kreta,31/05/2023,None,None,None,None,None
Brussels,Kreta,01/06/2023,None,None,None,None,None
Brussels,Kreta,02/06/2023,None,None,None,None,None
Brussels,Kreta,03/06/2023,06:35,11:00,HV9209,265,161.0
Brussels,Kreta,04/06/2023,None,None,None,None,None
Brussels,Kreta,05/06/2023,None,None,None,None,None
Brussels,Kreta,06/06/2023,07:10,11:35,HV9211,265,175.0
Brussels,Kreta,07/06/2023,None,None,None,None,None
Brussels,Kreta,08/06/2023,None,None,None,None,None
Brussels,Kreta,09/06/2023,None,None,None,None,None
Brussels,Kreta,10/06/2023,06:35,11:00,HV9209,265,175.0
Brussels,Kreta,11/06/2023,None,None,None,None,None
Brussels,Kreta,12/06/2023,None,None,None,None,None
Brussels,Kreta,13/06/2023,07:10,11:35,HV9211,265,131.0
Brussels,Kreta,14/06/2023,None,None,None,None,None
Brussels,Kreta,15/06/2023,None,None,None,None,None
Brussels,Kreta,16/06/2023,None,None,None,None,None
Brussels,Kreta,17/06/2023,06:35,11:00,HV9209,265,146.0
Brussels,Kreta,18/06/2023,None,None,None,None,None
Brussels,Kreta,19/06/2023,None,None,None,None,None
Brussels,Kreta,20/06/2023,07:10,11:35,HV9211,265,92.0
Brussels,Kreta,21/06/2023,None,None,None,None,None
Brussels,Kreta,22/06/2023,None,None,None,None,None
Brussels,Kreta,23/06/2023,None,None,None,None,None
Brussels,Kreta,24/06/2023,06:35,11:00,HV9209,265,161.0
Brussels,Kreta,25/06/2023,None,None,None,None,None
Brussels,Kreta,26/06/2023,None,None,None,None,None
Brussels,Kreta,27/06/2023,07:10,11:35,HV9211,265,146.0
Brussels,Kreta,28/06/2023,None,None,None,None,None
Brussels,Kreta,29/06/2023,15:55,20:20,HV9211,265,131.0
Brussels,Kreta,30/06/2023,None,None,None,None,None
Brussels,Kreta,01/07/2023,06:35,11:00,HV9209,265,328.0
Brussels,Kreta,02/07/2023,None,None,None,None,None
Brussels,Kreta,03/07/2023,None,None,None,None,None
Brussels,Kreta,04/07/2023,07:15,11:40,HV9211,265,206.0
Brussels,Kreta,05/07/2023,None,None,None,None,None
Brussels,Kreta,06/07/2023,15:55,20:20,HV9211,265,175.0
Brussels,Kreta,07/07/2023,None,None,None,None,None
Brussels,Kreta,08/07/2023,06:35,11:00,HV9209,265,292.0
Brussels,Kreta,09/07/2023,None,None,None,None,None
Brussels,Kreta,10/07/2023,None,None,None,None,None
Brussels,Kreta,11/07/2023,07:15,11:40,HV9211,265,258.0
Brussels,Kreta,12/07/2023,None,None,None,None,None
Brussels,Kreta,13/07/2023,15:55,20:20,HV9211,265,175.0
Brussels,Kreta,14/07/2023,None,None,None,None,None
Brussels,Kreta,15/07/2023,06:35,11:00,HV9209,265,274.0
Brussels,Kreta,16/07/2023,None,None,None,None,None
Brussels,Kreta,17/07/2023,None,None,None,None,None
Brussels,Kreta,18/07/2023,07:15,11:40,HV9211,265,258.0
Brussels,Kreta,19/07/2023,None,None,None,None,None
Brussels,Kreta,20/07/2023,15:55,20:20,HV9211,265,222.0
Brussels,Kreta,21/07/2023,None,None,None,None,None
Brussels,Kreta,22/07/2023,06:35,11:00,HV9209,265,310.0
Brussels,Kreta,23/07/2023,None,None,None,None,None
Brussels,Kreta,24/07/2023,None,None,None,None,None
Brussels,Kreta,25/07/2023,07:15,11:40,HV9211,265,292.0
Brussels,Kreta,26/07/2023,None,None,None,None,None
Brussels,Kreta,27/07/2023,15:55,20:20,HV9211,265,222.0
Brussels,Kreta,28/07/2023,None,None,None,None,None
Brussels,Kreta,29/07/2023,06:35,11:00,HV9209,265,258.0
Brussels,Kreta,30/07/2023,None,None,None,None,None
Brussels,Kreta,31/07/2023,None,None,None,None,None
Brussels,Kreta,01/08/2023,07:15,11:40,HV9211,265,241.0
Brussels,Kreta,02/08/2023,None,None,None,None,None
Brussels,Kreta,03/08/2023,15:55,20:20,HV9211,265,207.0
Brussels,Kreta,04/08/2023,None,None,None,None,None
Brussels,Kreta,05/08/2023,06:35,11:00,HV9209,265,274.0
Brussels,Kreta,06/08/2023,None,None,None,None,None
Brussels,Kreta,07/08/2023,None,None,None,None,None
Brussels,Kreta,08/08/2023,07:15,11:40,HV9211,265,225.0
Brussels,Kreta,09/08/2023,None,None,None,None,None
Brussels,Kreta,10/08/2023,15:55,20:20,HV9211,265,175.0
Brussels,Kreta,11/08/2023,None,None,None,None,None
Brussels,Kreta,12/08/2023,06:35,11:00,HV9209,265,241.0
Brussels,Kreta,13/08/2023,None,None,None,None,None
Brussels,Kreta,14/08/2023,None,None,None,None,None
Brussels,Kreta,15/08/2023,07:15,11:40,HV9211,265,161.0
Brussels,Kreta,16/08/2023,None,None,None,None,None
Brussels,Kreta,17/08/2023,15:55,20:20,HV9211,265,117.0
Brussels,Kreta,18/08/2023,None,None,None,None,None
Brussels,Kreta,19/08/2023,06:35,11:00,HV9209,265,161.0
Brussels,Kreta,20/08/2023,None,None,None,None,None
Brussels,Kreta,21/08/2023,None,None,None,None,None
Brussels,Kreta,22/08/2023,07:15,11:40,HV9211,265,175.0
Brussels,Kreta,23/08/2023,None,None,None,None,None
Brussels,Kreta,24/08/2023,15:55,20:20,HV9211,265,65.0
Brussels,Kreta,25/08/2023,None,None,None,None,None
Brussels,Kreta,26/08/2023,06:35,11:00,HV9209,265,104.0
Brussels,Kreta,27/08/2023,None,None,None,None,None
Brussels,Kreta,28/08/2023,None,None,None,None,None
Brussels,Kreta,29/08/2023,07:15,11:40,HV9211,265,104.0
Brussels,Kreta,30/08/2023,None,None,None,None,None
Brussels,Kreta,31/08/2023,None,None,None,None,None
Brussels,Kreta,01/09/2023,None,None,None,None,None
Brussels,Kreta,02/09/2023,06:35,11:00,HV9209,265,161.0
Brussels,Kreta,03/09/2023,None,None,None,None,None
Brussels,Kreta,04/09/2023,None,None,None,None,None
Brussels,Kreta,05/09/2023,07:15,11:40,HV9211,265,175.0
Brussels,Kreta,06/09/2023,None,None,None,None,None
Brussels,Kreta,07/09/2023,None,None,None,None,None
Brussels,Kreta,08/09/2023,None,None,None,None,None
Brussels,Kreta,09/09/2023,06:35,11:00,HV9209,265,175.0
Brussels,Kreta,10/09/2023,None,None,None,None,None
Brussels,Kreta,11/09/2023,None,None,None,None,None
Brussels,Kreta,12/09/2023,07:15,11:40,HV9211,265,146.0
Brussels,Kreta,13/09/2023,None,None,None,None,None
Brussels,Kreta,14/09/2023,None,None,None,None,None
Brussels,Kreta,15/09/2023,None,None,None,None,None
Brussels,Kreta,16/09/2023,06:35,11:00,HV9209,265,131.0
Brussels,Kreta,17/09/2023,None,None,None,None,None
Brussels,Kreta,18/09/2023,None,None,None,None,None
Brussels,Kreta,19/09/2023,07:15,11:40,HV9211,265,92.0
Brussels,Kreta,20/09/2023,None,None,None,None,None
Brussels,Kreta,21/09/2023,None,None,None,None,None
Brussels,Kreta,22/09/2023,None,None,None,None,None
Brussels,Kreta,23/09/2023,06:35,11:00,HV9209,265,117.0
Brussels,Kreta,24/09/2023,None,None,None,None,None
Brussels,Kreta,25/09/2023,None,None,None,None,None
Brussels,Kreta,26/09/2023,07:15,11:40,HV9211,265,72.0
Brussels,Kreta,27/09/2023,None,None,None,None,None
Brussels,Kreta,28/09/2023,None,None,None,None,None
Brussels,Kreta,29/09/2023,None,None,None,None,None
Brussels,Kreta,30/09/2023,06:35,11:00,HV9209,265,161.0
Brussels,Rhodos,01/04/2023,None,None,None,None,None
Brussels,Rhodos,02/04/2023,None,None,None,None,None
Brussels,Rhodos,03/04/2023,None,None,None,None,None
Brussels,Rhodos,04/04/2023,None,None,None,None,None
Brussels,Rhodos,05/04/2023,None,None,None,None,None
Brussels,Rhodos,06/04/2023,None,None,None,None,None
Brussels,Rhodos,07/04/2023,None,None,None,None,None
Brussels,Rhodos,08/04/2023,None,None,None,None,None
Brussels,Rhodos,09/04/2023,None,None,None,None,None
Brussels,Rhodos,10/04/2023,None,None,None,None,None
Brussels,Rhodos,11/04/2023,None,None,None,None,None
Brussels,Rhodos,12/04/2023,None,None,None,None,None
Brussels,Rhodos,13/04/2023,None,None,None,None,None
Brussels,Rhodos,14/04/2023,None,None,None,None,None
Brussels,Rhodos,15/04/2023,None,None,None,None,None
Brussels,Rhodos,16/04/2023,None,None,None,None,None
Brussels,Rhodos,17/04/2023,None,None,None,None,None
Brussels,Rhodos,18/04/2023,None,None,None,None,None
Brussels,Rhodos,19/04/2023,None,None,None,None,None
Brussels,Rhodos,20/04/2023,None,None,None,None,None
Brussels,Rhodos,21/04/2023,None,None,None,None,None
Brussels,Rhodos,22/04/2023,None,None,None,None,None
Brussels,Rhodos,23/04/2023,None,None,None,None,None
Brussels,Rhodos,24/04/2023,None,None,None,None,None
Brussels,Rhodos,25/04/2023,None,None,None,None,None
Brussels,Rhodos,26/04/2023,None,None,None,None,None
Brussels,Rhodos,27/04/2023,None,None,None,None,None
Brussels,Rhodos,28/04/2023,None,None,None,None,None
Brussels,Rhodos,29/04/2023,None,None,None,None,None
Brussels,Rhodos,30/04/2023,None,None,None,None,None
Brussels,Rhodos,01/05/2023,None,None,None,None,None
Brussels,Rhodos,02/05/2023,None,None,None,None,None
Brussels,Rhodos,03/05/2023,None,None,None,None,None
Brussels,Rhodos,04/05/2023,None,None,None,None,None
Brussels,Rhodos,05/05/2023,None,None,None,None,None
Brussels,Rhodos,06/05/2023,None,None,None,None,None
Brussels,Rhodos,07/05/2023,None,None,None,None,None
Brussels,Rhodos,08/05/2023,None,None,None,None,None
Brussels,Rhodos,09/05/2023,None,None,None,None,None
Brussels,Rhodos,10/05/2023,None,None,None,None,None
Brussels,Rhodos,11/05/2023,None,None,None,None,None
Brussels,Rhodos,12/05/2023,None,None,None,None,None
Brussels,Rhodos,13/05/2023,None,None,None,None,None
Brussels,Rhodos,14/05/2023,None,None,None,None,None
Brussels,Rhodos,15/05/2023,None,None,None,None,None
Brussels,Rhodos,16/05/2023,None,None,None,None,None
Brussels,Rhodos,17/05/2023,None,None,None,None,None
Brussels,Rhodos,18/05/2023,None,None,None,None,None
Brussels,Rhodos,19/05/2023,None,None,None,None,None
Brussels,Rhodos,20/05/2023,None,None,None,None,None
Brussels,Rhodos,21/05/2023,None,None,None,None,None
Brussels,Rhodos,22/05/2023,None,None,None,None,None
Brussels,Rhodos,23/05/2023,None,None,None,None,None
Brussels,Rhodos,24/05/2023,None,None,None,None,None
Brussels,Rhodos,25/05/2023,None,None,None,None,None
Brussels,Rhodos,26/05/2023,None,None,None,None,None
Brussels,Rhodos,27/05/2023,None,None,None,None,None
Brussels,Rhodos,28/05/2023,None,None,None,None,None
Brussels,Rhodos,29/05/2023,None,None,None,None,None
Brussels,Rhodos,30/05/2023,None,None,None,None,None
Brussels,Rhodos,31/05/2023,None,None,None,None,None
Brussels,Rhodos,01/06/2023,None,None,None,None,None
Brussels,Rhodos,02/06/2023,None,None,None,None,None
Brussels,Rhodos,03/06/2023,None,None,None,None,None
Brussels,Rhodos,04/06/2023,None,None,None,None,None
Brussels,Rhodos,05/06/2023,None,None,None,None,None
Brussels,Rhodos,06/06/2023,None,None,None,None,None
Brussels,Rhodos,07/06/2023,None,None,None,None,None
Brussels,Rhodos,08/06/2023,None,None,None,None,None
Brussels,Rhodos,09/06/2023,None,None,None,None,None
Brussels,Rhodos,10/06/2023,None,None,None,None,None
Brussels,Rhodos,11/06/2023,None,None,None,None,None
Brussels,Rhodos,12/06/2023,None,None,None,None,None
Brussels,Rhodos,13/06/2023,None,None,None,None,None
Brussels,Rhodos,14/06/2023,None,None,None,None,None
Brussels,Rhodos,15/06/2023,None,None,None,None,None
Brussels,Rhodos,16/06/2023,None,None,None,None,None
Brussels,Rhodos,17/06/2023,None,None,None,None,None
Brussels,Rhodos,18/06/2023,None,None,None,None,None
Brussels,Rhodos,19/06/2023,None,None,None,None,None
Brussels,Rhodos,20/06/2023,None,None,None,None,None
Brussels,Rhodos,21/06/2023,None,None,None,None,None
Brussels,Rhodos,22/06/2023,None,None,None,None,None
Brussels,Rhodos,23/06/2023,None,None,None,None,None
Brussels,Rhodos,24/06/2023,None,None,None,None,None
Brussels,Rhodos,25/06/2023,None,None,None,None,None
Brussels,Rhodos,26/06/2023,None,None,None,None,None
Brussels,Rhodos,27/06/2023,None,None,None,None,None
Brussels,Rhodos,28/06/2023,None,None,None,None,None
Brussels,Rhodos,29/06/2023,None,None,None,None,None
Brussels,Rhodos,30/06/2023,None,None,None,None,None
Brussels,Rhodos,01/07/2023,None,None,None,None,None
Brussels,Rhodos,02/07/2023,None,None,None,None,None
Brussels,Rhodos,03/07/2023,None,None,None,None,None
Brussels,Rhodos,04/07/2023,None,None,None,None,None
Brussels,Rhodos,05/07/2023,None,None,None,None,None
Brussels,Rhodos,06/07/2023,None,None,None,None,None
Brussels,Rhodos,07/07/2023,None,None,None,None,None
Brussels,Rhodos,08/07/2023,None,None,None,None,None
Brussels,Rhodos,09/07/2023,None,None,None,None,None
Brussels,Rhodos,10/07/2023,None,None,None,None,None
Brussels,Rhodos,11/07/2023,None,None,None,None,None
Brussels,Rhodos,12/07/2023,None,None,None,None,None
Brussels,Rhodos,13/07/2023,None,None,None,None,None
Brussels,Rhodos,14/07/2023,None,None,None,None,None
Brussels,Rhodos,15/07/2023,None,None,None,None,None
Brussels,Rhodos,16/07/2023,None,None,None,None,None
Brussels,Rhodos,17/07/2023,None,None,None,None,None
Brussels,Rhodos,18/07/2023,None,None,None,None,None
Brussels,Rhodos,19/07/2023,None,None,None,None,None
Brussels,Rhodos,20/07/2023,None,None,None,None,None
Brussels,Rhodos,21/07/2023,None,None,None,None,None
Brussels,Rhodos,22/07/2023,None,None,None,None,None
Brussels,Rhodos,23/07/2023,None,None,None,None,None
Brussels,Rhodos,24/07/2023,None,None,None,None,None
Brussels,Rhodos,25/07/2023,None,None,None,None,None
Brussels,Rhodos,26/07/2023,None,None,None,None,None
Brussels,Rhodos,27/07/2023,None,None,None,None,None
Brussels,Rhodos,28/07/2023,None,None,None,None,None
Brussels,Rhodos,29/07/2023,None,None,None,None,None
