Luchthaven,Bestemming,Datum,Vertrektijdstip,Aankomsttijdstip,prijs,duur,aantalStops,vrijePlaatsen,VluchtNr,Flightkey
Brussels (Charleroi),Brindisi,2023-04-10,20:55:00.000,23:20:00.000,60.99,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~04/10/2023 20:55~BDS~04/10/2023 23:20~~
Brussels (Charleroi),Naples,2023-04-10,06:30:00.000,08:45:00.000,103.63,02:15,0,3,FR 1302,FR~1302~ ~~CRL~04/10/2023 06:30~NAP~04/10/2023 08:45~~
Brussels (Charleroi),Naples,2023-04-10,09:30:00.000,11:45:00.000,103.63,02:15,0,2,FR 1310,FR~1310~ ~~CRL~04/10/2023 09:30~NAP~04/10/2023 11:45~~
Brussels (Charleroi),Palermo,2023-04-10,12:05:00.000,14:35:00.000,127.33,02:30,0,-1,FR 6269,FR~6269~ ~~CRL~04/10/2023 12:05~PMO~04/10/2023 14:35~~
Brussels (Charleroi),Faro,2023-04-10,18:00:00.000,19:55:00.000,67.12,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~04/10/2023 18:00~FAO~04/10/2023 19:55~~
Brussels (Charleroi),Alicante,2023-04-10,16:55:00.000,19:20:00.000,155.27,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~04/10/2023 16:55~ALC~04/10/2023 19:20~~
Brussels,Malaga,2023-04-10,17:40:00.000,20:30:00.000,117.29,02:50,0,-1,FR 2923,FR~2923~ ~~BRU~04/10/2023 17:40~AGP~04/10/2023 20:30~~
Brussels (Charleroi),Malaga,2023-04-10,19:20:00.000,22:05:00.000,101.39,02:45,0,3,FR 1916,FR~1916~ ~~CRL~04/10/2023 19:20~AGP~04/10/2023 22:05~~
Brussels (Charleroi),Heraklion Crete,2023-04-11,07:20:00.000,11:45:00.000,95.99,03:25,0,-1,FR 7986,FR~7986~ ~~CRL~04/11/2023 07:20~HER~04/11/2023 11:45~~
Brussels (Charleroi),Brindisi,2023-04-11,17:20:00.000,19:45:00.000,78.04,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~04/11/2023 17:20~BDS~04/11/2023 19:45~~
Brussels (Charleroi),Naples,2023-04-11,19:20:00.000,21:35:00.000,127.33,02:15,0,2,FR 1302,FR~1302~ ~~CRL~04/11/2023 19:20~NAP~04/11/2023 21:35~~
Brussels (Charleroi),Palermo,2023-04-11,15:35:00.000,18:05:00.000,63.92,02:30,0,2,FR 6269,FR~6269~ ~~CRL~04/11/2023 15:35~PMO~04/11/2023 18:05~~
Brussels (Charleroi),Faro,2023-04-11,13:45:00.000,15:40:00.000,50.22,02:55,0,1,FR 2941,FR~2941~ ~~CRL~04/11/2023 13:45~FAO~04/11/2023 15:40~~
Brussels (Charleroi),Faro,2023-04-11,16:45:00.000,18:40:00.000,50.22,02:55,0,5,FR 6312,FR~6312~ ~~CRL~04/11/2023 16:45~FAO~04/11/2023 18:40~~
Brussels (Charleroi),Alicante,2023-04-11,06:30:00.000,08:55:00.000,78.99,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~04/11/2023 06:30~ALC~04/11/2023 08:55~~
Brussels (Charleroi),Alicante,2023-04-11,12:15:00.000,14:40:00.000,82.99,02:25,0,2,FR 9053,FR~9053~ ~~CRL~04/11/2023 12:15~ALC~04/11/2023 14:40~~
Brussels (Charleroi),Ibiza,2023-04-11,09:25:00.000,11:50:00.000,49.89,02:25,0,3,FR 6456,FR~6456~ ~~CRL~04/11/2023 09:25~IBZ~04/11/2023 11:50~~
Brussels (Charleroi),Malaga,2023-04-11,16:00:00.000,18:45:00.000,115.79,02:45,0,1,FR 1916,FR~1916~ ~~CRL~04/11/2023 16:00~AGP~04/11/2023 18:45~~
Brussels (Charleroi),Tenerife (South),2023-04-11,07:15:00.000,10:50:00.000,84.66,04:35,0,-1,FR 563,FR~ 563~ ~~CRL~04/11/2023 07:15~TFS~04/11/2023 10:50~~
